response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
22,Assembly;Bash/Shell (all shells);C;C++;Fortran;HTML/CSS;JavaScript;Lisp;MATLAB;Perl;Python,C++;Python;Gleam,,,,,,,Jupyter Notebook/JupyterLab;Neovim;Vim,Neovim,,
23,C#;C++;JavaScript;Python;Visual Basic (.Net),C#;Python,Microsoft SQL Server,Microsoft SQL Server,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core;jQuery,ASP.NET;ASP.NET Core,Notepad++;PyCharm;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,,
24,Bash/Shell (all shells);C;C++;Delphi;JavaScript;PHP;SQL;TypeScript,C;C++;SQL;TypeScript,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Kubernetes;npm;Pip;Vite,Cloudflare;Docker;npm;Pip;Vite,Angular;Node.js;Svelte,Node.js;Svelte,Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models);openAI Reasoning models,
25,Assembly,Assembly,,,,,,,,,,
26,Bash/Shell (all shells);JavaScript;Perl;SQL;TypeScript,Bash/Shell (all shells);JavaScript;Perl;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;npm,Amazon Web Services (AWS);Cloudflare;npm,Astro;Node.js;WordPress,Astro;Node.js,Cursor;Visual Studio Code,Cursor;Visual Studio Code,openAI GPT (chatbot models),Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
27,C#;JavaScript;PowerShell;TypeScript,Python,Cosmos DB;Microsoft SQL Server;PostgreSQL;Redis,Databricks SQL,Cloudflare;Microsoft Azure;New Relic;npm;NuGet,Docker;Kubernetes,ASP.NET Core,Angular;Blazor,Rider;Visual Studio;Visual Studio Code,,,
28,C#;Java;Python;SQL,C#;Java;SQL,Microsoft SQL Server;Oracle;PostgreSQL,Microsoft SQL Server;Oracle;PostgreSQL,,,Blazor,Blazor,,,,
29,HTML/CSS;JavaScript;Python;TypeScript,Go;Swift,MariaDB;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Vercel;Vite,Google Cloud,Django;FastAPI;Flask;Node.js;React;Vue.js,Svelte,,,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Meta Llama (all models),
30,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,,MySQL;PostgreSQL;SQLite;Supabase,,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Firebase;Google Cloud;Gradle;Homebrew;Maven (build tool);Supabase,,Next.js;Node.js;React,,Android Studio;Claude Code;Cursor;IntelliJ IDEA;Vim;Visual Studio;Visual Studio Code,,Anthropic: Claude Sonnet;openAI Reasoning models,
31,C#;Go;HTML/CSS;PowerShell;Python;SQL,,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;SQLite;Valkey,,Ansible;Chocolatey;Cloudflare;Digital Ocean;Docker;Kubernetes;Make;Microsoft Azure;MSBuild;Pip;Podman;Prometheus;Terraform,,Django;Flask,,Cursor;Neovim;Notepad++;PyCharm;Sublime Text;Visual Studio Code,,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,
32,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,Elixir;HTML/CSS;OCaml;Gleam,BigQuery;Elasticsearch;PostgreSQL;SQLite,SQLite,Amazon Web Services (AWS);Cloudflare;Datadog;Digital Ocean;Docker;Google Cloud;Homebrew;Kubernetes;Make;npm;Pip;Yarn,Cloudflare;Homebrew;Make,Node.js;Phoenix;React,Phoenix,,,,
33,C#;SQL,C#;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Docker;Microsoft Azure,ASP.NET Core,ASP.NET Core,,,,
34,C#;Python;SQL,,Microsoft SQL Server,,Amazon Web Services (AWS);Microsoft Azure;Terraform,,ASP.NET;ASP.NET Core,,Visual Studio;Visual Studio Code,,,
35,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript,Microsoft SQL Server,PostgreSQL,,,ASP.NET Core;Blazor;Vue.js,ASP.NET Core;Blazor;Vue.js,,,,
36,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;TypeScript,Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis,Dynamodb;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Datadog;Digital Ocean;Docker;Heroku;Homebrew;Kubernetes;npm;Terraform;Yarn,Amazon Web Services (AWS);Datadog;Digital Ocean;Docker;Homebrew;Kubernetes;npm;Yarn,Express;Fastify;NestJS;Next.js;Node.js;React;Vue.js;WordPress,NestJS;Node.js,Cursor;IntelliJ IDEA;Visual Studio,Cursor;IntelliJ IDEA,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models
37,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Go;JavaScript;PowerShell;Python;Rust;SQL;Swift;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Bun;Docker;Firebase;Google Cloud;Homebrew;npm;Pip;Vite,Amazon Web Services (AWS);Bun;Docker;Firebase;Google Cloud;Homebrew;Pip;Supabase;Vite,Django;Next.js;React;Svelte,FastAPI;Next.js;React;Svelte,Visual Studio Code,Cursor;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
38,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Fortran;Java;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),,MySQL;Oracle;PostgreSQL;SQLite,,,,,,,,,
39,C#;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure;npm;NuGet,Microsoft Azure;npm;NuGet,Angular;ASP.NET;ASP.NET Core,Angular;ASP.NET Core,Visual Studio,Visual Studio,,
40,HTML/CSS;JavaScript;Ruby;SQL,,PostgreSQL;Redis,,Amazon Web Services (AWS);Heroku;Microsoft Azure;Webpack;Yarn,,React;Ruby on Rails,,Visual Studio Code,,,
41,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,C#;C++,IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,,Amazon Web Services (AWS);Kubernetes;Microsoft Azure;Pip;Yarn,,Laravel;Node.js,,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;Visual Studio Code,,DeepSeek (V- General purpose models);Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models);X Grok models,DeepSeek (V- General purpose models);Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models);X Grok models
42,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Make;npm;Vercel;Vite,Datadog;Homebrew;npm;Vercel;Vite,Next.js;Node.js;React;Svelte,Svelte,Cursor,Cursor,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet
43,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),Assembly;Go;Ruby;Rust,Microsoft SQL Server;MySQL;Oracle;SQLite,Cosmos DB;DuckDB;Dynamodb;IBM DB2;InfluxDB;MongoDB,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Gradle;Homebrew;Maven (build tool);Microsoft Azure;npm;NuGet;Podman;Prometheus;Splunk,,AngularJS;ASP.NET;ASP.NET Core;Django;jQuery;NestJS;Node.js;Ruby on Rails,Ruby on Rails;Spring Boot,Android Studio;Claude Code;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;Neovim;Notepad++;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;VSCodium;WebStorm;Xcode,,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Alibaba Cloud Qwen models;Amazon Titan models;Anthropic: Claude Sonnet;Cohere: Command A;Perplexity Sonar models;Reka (Flash 3 or other Reka models)
44,C#;C++;Python,,,,,,,,Android Studio;IntelliJ IDEA;Notepad++;PyCharm;Rider;Visual Studio;Visual Studio Code,,openAI GPT (chatbot models),
45,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,,Dynamodb,,,,Express;Node.js;Svelte,,Visual Studio Code,,openAI GPT (chatbot models),openAI GPT (chatbot models)
46,Java;MATLAB;OCaml;Python;Scala,OCaml;Python;Scala,PostgreSQL;SQLite,PostgreSQL;SQLite,Docker;Maven (build tool),Docker;Poetry,FastAPI,FastAPI,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;PyCharm;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;PyCharm;Visual Studio Code,,
47,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;MicroPython;Perl;PowerShell;Python;Ruby;Rust;SQL;VBA,Bash/Shell (all shells);Go;Groovy;HTML/CSS;JavaScript;Kotlin;MicroPython;Perl;PowerShell;Python;R;Ruby;Rust;SQL,Cassandra;Elasticsearch,Cassandra;Elasticsearch,,,,,,,,
48,Go;Java;JavaScript;Python;TypeScript,Go;TypeScript,Dynamodb;PostgreSQL,PostgreSQL;Clickhouse,Amazon Web Services (AWS);Ansible;Bun;Cloudflare;Docker;npm;Pip;Poetry;Vite;Yarn,Amazon Web Services (AWS);Bun;Cloudflare;Docker;Kubernetes;Prometheus;Terraform,FastAPI;Node.js;Nuxt.js;Vue.js,Deno,,,,
49,C#;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,C#;Elixir;HTML/CSS;SQL,Cosmos DB;Elasticsearch;Microsoft SQL Server;PostgreSQL,Cosmos DB;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Kubernetes;Microsoft Azure;NuGet;Terraform;Vite;Webpack,Amazon Web Services (AWS);Cloudflare;Docker;Microsoft Azure;Terraform;Vite,ASP.NET Core;Next.js;Phoenix,ASP.NET Core;Blazor;Phoenix,Aider;Claude Code;Cursor;Jupyter Notebook/JupyterLab;Neovim;Rider;Visual Studio Code;Windsurf;Zed,Jupyter Notebook/JupyterLab;Neovim;Rider;Visual Studio Code;Zed,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);Meta Llama (all models);openAI GPT (chatbot models)
50,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,DuckDB;PostgreSQL;SQLite,DuckDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Cargo;Docker;Gradle;Homebrew;Kubernetes;npm;Pip;pnpm;Vite,Amazon Web Services (AWS);Cargo;Homebrew;Kubernetes;Pip;pnpm;Vite,Astro;Node.js;React;Spring Boot,Node.js;React,Cursor;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Claude Code;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
51,C#;JavaScript,,Cloud Firestore;Firebase Realtime Database,,Google Cloud,,,,Cursor;VSCodium;Windsurf,,openAI GPT (chatbot models),
52,C#;C++;Lua;PowerShell;Python;R,C#;C++;Lua;PowerShell;Python;R,,,,,,,Aider;Claude Code;Cursor;Notepad++;Visual Studio;Visual Studio Code;Windsurf,Cursor;Notepad++;Visual Studio;Visual Studio Code,Anthropic: Claude Sonnet;DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;X Grok models,Anthropic: Claude Sonnet
53,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,,Cosmos DB;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase,,Bun;Docker;Homebrew;Make;Microsoft Azure;npm;NuGet;Pip;pnpm;Supabase;Vite,,ASP.NET Core;Blazor;FastAPI;Flask;Next.js;Node.js;React;Vue.js,,Cursor;Neovim;Rider;Visual Studio Code;Zed,,Anthropic: Claude Sonnet;DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models),
54,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,,PostgreSQL;Redis,SQLite,Cloudflare;Heroku;Homebrew;Yarn,Vite,jQuery;React;Ruby on Rails,Laravel;Svelte,Cursor;Visual Studio Code;Windsurf,Zed,openAI GPT (chatbot models),Anthropic: Claude Sonnet
55,HTML/CSS;JavaScript;PHP;SQL;TypeScript,,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);Composer;Docker;Kubernetes;Make;npm;Vite;Webpack,,Angular;jQuery;Symfony,,,,openAI GPT (chatbot models);openAI Reasoning models,
56,Assembly;C++;Groovy;Java;JavaScript;Kotlin;Rust;TypeScript,Assembly;C++;Java;Kotlin;Rust;TypeScript;Zig,,,Amazon Web Services (AWS);Docker;npm;pnpm,Docker;pnpm,Node.js,Node.js,IntelliJ IDEA;Visual Studio Code;Zed,IntelliJ IDEA;Visual Studio Code,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),Gemini (Flash general purpose models);Gemini (Pro Reasoning models)
57,Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MicroPython;PHP;PowerShell;Python;SQL,,MariaDB;MongoDB;MySQL;PostgreSQL,,,,,,,,,
58,HTML/CSS;JavaScript;PHP;Python,HTML/CSS;JavaScript;PHP;Python,MongoDB;MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL,Amazon Web Services (AWS);Docker;Google Cloud;npm;Vite;Webpack,Amazon Web Services (AWS);Docker;Google Cloud;Kubernetes;npm;Vite;Webpack,Fastify;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress,Fastify;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress,Visual Studio Code,Visual Studio Code,,
59,Assembly;Bash/Shell (all shells);C;C++;Go;Python;Swift,Assembly;Bash/Shell (all shells);C;C++;GDScript;Lua;Python,,,Digital Ocean;Docker;Homebrew,Digital Ocean;Docker;Homebrew,Django;Flask,Flask,Cursor;Neovim;Notepad++;Rider;Vim;Visual Studio;Visual Studio Code;Xcode,Neovim;Notepad++;Rider;Vim,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);openAI GPT (chatbot models);openAI Reasoning models,
60,C#;F#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET Core;Blazor,Angular;ASP.NET Core,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet;openAI GPT (chatbot models)
61,Bash/Shell (all shells);Java;SQL,,BigQuery;Elasticsearch;MySQL;Oracle;PostgreSQL;Redis,,Datadog;Docker;Google Cloud;Maven (build tool),,,,Cline and/or Roo;IntelliJ IDEA;Visual Studio Code;Zed,,Gemini (Pro Reasoning models),
62,C;Elixir;Go;HTML/CSS;Python;Rust;SQL;Zig,Go;Python;SQL,BigQuery;DuckDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,BigQuery;DuckDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cargo;Digital Ocean;Docker;Google Cloud;Kubernetes;Terraform,Google Cloud;Terraform,,,Claude Code;IntelliJ IDEA;Neovim;Visual Studio;Zed,Claude Code;Neovim;Zed,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models)
63,Bash/Shell (all shells);C#;F#;Go;HTML/CSS;SQL;TypeScript,Bash/Shell (all shells);C#;F#;Go;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,Chocolatey;Docker;Kubernetes;Make;MSBuild;NuGet,Chocolatey;Docker;Kubernetes;Make;MSBuild;NuGet,Angular;ASP.NET;ASP.NET Core,Angular;ASP.NET;ASP.NET Core,Rider;Visual Studio Code,Rider;Visual Studio Code,,
64,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Dynamodb;MySQL;Snowflake,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake,Amazon Web Services (AWS);Google Cloud;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud;Webpack;Yarn,React;Ruby on Rails,jQuery;React;Ruby on Rails,Vim;Visual Studio;Visual Studio Code;Xcode,Vim;Visual Studio Code;Xcode,openAI GPT (chatbot models),openAI GPT (chatbot models)
65,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C;C++;GDScript;PowerShell;Python;Rust;TypeScript,MySQL,,,,Node.js,,Android Studio;Claude Code;Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet
66,C#;JavaScript;Python;SQL,C;C#;C++;Delphi;Elixir;Erlang;F#;Go;PHP;PowerShell;Python;Ruby;Rust;SQL;TypeScript,,,Microsoft Azure;MSBuild;npm;NuGet;Pip,Amazon Web Services (AWS);Docker;Google Cloud;Microsoft Azure;Pip,ASP.NET Core,Angular;ASP.NET Core;Blazor;Django;Flask;React;Ruby on Rails,,,,
67,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Go;HTML/CSS;Lua;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Google Cloud;MSBuild;npm;NuGet;Vite,Docker;Kubernetes;Vite;Yarn,Angular;ASP.NET Core;Node.js;Vue.js,Next.js;Node.js;Nuxt.js;Vue.js,Neovim;Visual Studio Code,Neovim,Gemini (Flash general purpose models);openAI GPT (chatbot models),
