category,type,technology,count
web_framework,wanted,Spring Boot,2511
web_framework,wanted,Django,2302
web_framework,wanted,jQuery,2015
web_framework,wanted,Flask,1955
web_framework,wanted,Blazor,1618
web_framework,wanted,Laravel,1502
web_framework,wanted,Deno,1490
web_framework,wanted,ASP.NET,1443
web_framework,wanted,NestJS,1371
web_framework,wanted,Astro,1346
web_framework,wanted,WordPress,1255
web_framework,wanted,Ruby on Rails,1244
web_framework,wanted,Nuxt.js,920
web_framework,wanted,Phoenix,888
web_framework,wanted,Axum,851
web_framework,wanted,AngularJS,835
web_framework,wanted,Symfony,714
web_framework,wanted,Fastify,620
web_framework,wanted,Drupal,296
