category,type,technology,count
platform_cloud,used,Bun,1344
platform_cloud,used,Supabase,1320
platform_cloud,used,Heroku,1318
platform_cloud,used,Ninja,1272
platform_cloud,used,Splunk,1105
platform_cloud,used,New Relic,936
platform_cloud,used,Railway,360
platform_cloud,used,IBM Cloud,294
platform_cloud,used,Yandex Cloud,165
web_framework,used,Node.js,11544
web_framework,used,React,10596
web_framework,used,jQuery,5541
web_framework,used,Next.js,4933
web_framework,used,Express,4710
web_framework,used,ASP.NET Core,4664
web_framework,used,Angular,4319
web_framework,used,Vue.js,4162
web_framework,used,FastAPI,3504
web_framework,used,Spring Boot,3481
web_framework,used,Flask,3406
web_framework,used,ASP.NET,3360
web_framework,used,WordPress,3227
web_framework,used,Django,2980
web_framework,used,Laravel,2111
web_framework,used,AngularJS,1718
web_framework,used,Svelte,1717
web_framework,used,Blazor,1648
web_framework,used,NestJS,1596
web_framework,used,Ruby on Rails,1395
web_framework,used,Astro,1058
web_framework,used,Deno,960
web_framework,used,Symfony,949
web_framework,used,Nuxt.js,948
web_framework,used,Fastify,692
web_framework,used,Axum,671
web_framework,used,Phoenix,568
web_framework,used,Drupal,526
